Full name:;Short name;Headquarters;Description;Founded;Cellular Networks Installed;Supported Cellular Data Links;Cellular Network Operator;Covered Countries;Covered Regions
Telstra Corporation Limited;Telstra;Melbourne;TDD-LTE Band 42 support since Dec 2017;1975;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 850MHz (Band V, CLR) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , TD-LTE 2300 MHz (Band XL) , TD-LTE 3500 MHz (Band XLII) , TD-NR 3500 MHz (N78) networks;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;No;Australia covered;Australia
Emobile Limited;Emobile;Tokyo;;2005;UMTS 2100MHz (Band I, IMT) , UMTS 1700/1800MHz (Band IX) , LTE 1800 MHz (Band 3) networks;UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) data links;No;Japan covered;
Virgin Mobile Canada;Virgin Mobile CA;Mississauga, Ontario;Fully owned subsidiary of Bell Mobility;2005;UMTS 1900MHz (Band II, PCS) , UMTS 850MHz (Band V, CLR) , CDMA 800MHz (BC0, 850) , CDMA 1900MHz (BC1/BC14, PCS) , LTE 1700/2100 MHz (Band 4, AWS) , LTE 2600 MHz (Band 7) networks;UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Canada covered;
Bell Mobility;Bell;Mississauga, Ontario;Formerly Bell Cellular. A Bell Canada leányvállalata;1986;UMTS 1900MHz (Band II, PCS) , UMTS 850MHz (Band V, CLR) , CDMA 800MHz (BC0, 850) , CDMA 1900MHz (BC1/BC14, PCS) , LTE 1700/2100 MHz (Band 4, AWS) , LTE 2600 MHz (Band 7) , NR 1700/2100 MHz (N66) networks;UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , LTE 150 Mbps / 50 Mbps (Cat. 4) , NR 1.5 Gbps , NR 2.6 Gbps , NR 3.7 Gbps data links;No;Canada covered;
KDDI Corporation;KDDI;Tokyo;au by KDDI. Okinawa Cellular in Okinawa;1984;UMTS 2100MHz (Band I, IMT) , UMTS 800MHz (Band VI) , UMTS 900MHz (Band VIII) , UMTS 1700/1800MHz (Band IX) , UMTS 1500MHz (Band XI) , UMTS 800MHz (Band XIX) , CDMA 800MHz (BC0, 850) , CDMA 2100 MHz (BC6) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 850 MHz (Band 5) , LTE 2600 MHz (Band 7) , LTE 1500 MHz (Band 11) , LTE 800 MHz (Band 18) , LTE 850 MHz (Band 26) , LTE 700 MHz (Band 28) , TD-LTE 2500 MHz (Band XLI) , TD-LTE 3500 MHz (Band XLII) , NR 1800 MHz (N3) , NR 800 MHz (N18) , NR 850 MHz (N26) , NR 700 MHz (N28) , TD-NR 2300 MHz (N40) , TD-NR 3700 MHz (N77) , TD-NR 3500 MHz (N78) , TD-NR 28 GHz (N257) , TD-NR 28 GHz (N261) networks;HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , CDMA2000 1xEV-DO Revision B , LTE (Cat. unspecified) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 225 Mbps / 50 Mbps , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , NR 1.5 Gbps , NR 2.6 Gbps , NR 3.7 Gbps , NR 4.6 Gbps data links;No;Japan covered;
Cincinnati Bell Wireless;Cincinnati Bell;Cincinnati, Ohio;Indiana, Kentucky, Ohio served;;GSM 850MHz (B5) , GSM 1900MHz (PCS, B2) , UMTS 1700/2100MHz (Band IV, AWS) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) data links;No;USA covered;
Spice Communications Limited;S Mobility;Mohali;Previously Spice Telecom;1997;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) data links;No;India covered;
Telus Mobility;Telus;Burnaby, British Columbia;;1984;GSM 850MHz (B5) , GSM 1900MHz (PCS, B2) , UMTS 1900MHz (Band II, PCS) , UMTS 850MHz (Band V, CLR) , LTE 1700/2100 MHz (Band 4, AWS) , LTE 2600 MHz (Band 7) , LTE 700 MHz (Band 29) , TD-LTE 2300 MHz (Band XL) , TD-LTE 3500 MHz (Band XLII) , NR 1700/2100 MHz (N66) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , NR 1.5 Gbps , NR 2.6 Gbps data links;No;Canada covered;
Rogers Wireless;Rogers;Toronto, Ontario;;1983;GSM 850MHz (B5) , GSM 1900MHz (PCS, B2) , UMTS 1900MHz (Band II, PCS) , UMTS 850MHz (Band V, CLR) , LTE 1700/2100 MHz (Band 4, AWS) , LTE 2600 MHz (Band 7) , LTE 700 MHz (Band 12) , TD-NR 2600 MHz (N38) , NR 1700/2100 MHz (N66) , NR 600 MHz (N71) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , NR 1.5 Gbps , NR 2.6 Gbps , NR 3.7 Gbps data links;No;Canada covered;
AT&T Mobility;ATT;Atlanta, Georgia;Formerly Cingular Wireless LLC;2000;GSM 850MHz (B5) , GSM 1900MHz (PCS, B2) , UMTS 1900MHz (Band II, PCS) , UMTS 850MHz (Band V, CLR) , LTE 1900 MHz (Band 2, PCS) , LTE 1700/2100 MHz (Band 4, AWS) , LTE 850 MHz (Band 5) , LTE 700 MHz (Band XIV) , LTE 700 MHz (Band 17) , LTE 700 MHz (Band 29) , LTE 2300 MHz (Band 30) , NR 1900 MHz (N2, PCS) , NR 850 MHz (N5) , TD-NR 3700 MHz (N77) , TD-NR 39 GHz (N260) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , NR 1.5 Gbps , NR 2.6 Gbps , NR 3.7 Gbps , NR 4.6 Gbps data links;No;USA covered;
Chunghwa Telecom;CHT;Taipei;;1996;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) data links;No;Taiwan covered;
Optimus Telecommunications;Optimus PT;Porto;;1998;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) data links;No;Portugal covered;
China Mobile Limited;China Mobile;Hong Kong;;1997;GSM 900MHz (B8) , GSM 1800MHz (B3) , TD-SCDMA 2000 MHz (B34) , TD-SCDMA 1900 MHz (B39) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , TD-LTE 2600 MHz (Band 38) , TD-LTE 1900 MHz (Band 39) , TD-LTE 2300 MHz (Band XL) , TD-NR 2500 MHz (N41) , TD-NR 4700 MHz (N79) networks;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , TD-SCDMA , TD-HSDPA , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , NR 1.5 Gbps , NR 2.6 Gbps , NR 3.7 Gbps data links;No;China , HK , Pakistan covered;
Orange United Kingdom;Orange UK;Bristol;Orange was merged into EE Limited in 2010.;1993;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) data links;No;UK covered;
Virgin Mobile USA;Virgin USA;Warren, New Jersey;Fully-owned subsidiary of Sprint Nextel;2001;CDMA 800MHz (BC0, 850) , CDMA 1900MHz (BC1/BC14, PCS) , CDMA 800MHz (BC10) , LTE 1900 MHz (Band 25) , LTE 850 MHz (Band 26) , TD-LTE 2500 MHz (Band XLI) networks;cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , LTE (Cat. unspecified) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;Sprint Nextel Corporation;Puerto Rico , USA covered;
Sprint Nextel Corporation;Sprint;Overland Park, Kansas;Wireless services: CDMA 1xRTT, CDMA EV-DO Rev. A / Rel. 0, LTE, WiMAX (Clearwire), iDEN (NEXTEL Direct Connect), Push-to-talk (Sprint Direct Connect);;CDMA 800MHz (BC0, 850) , CDMA 1900MHz (BC1/BC14, PCS) , CDMA 800MHz (BC10) , iDEN 800 MHz , iDEN 900 MHz , LTE 1900 MHz (Band 2, PCS) , LTE 1900 MHz (Band 25) , TD-NR 2500 MHz (N41) networks;cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , iDEN , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 300 Mbps / 100 Mbps (Cat. 7) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 450 Mbps / 100 Mbps (LTE Cat. 10) , NR 1.5 Gbps , NR 2.6 Gbps , NR 3.7 Gbps data links;No;USA covered;
NTT DoCoMo;docomo;Tokyo;;1991;UMTS 2100MHz (Band I, IMT) , UMTS 800MHz (Band VI) , UMTS 1700/1800MHz (Band IX) , UMTS 800MHz (Band XIX) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 800 MHz (Band 19) , LTE 1500 MHz (Band XXI) , LTE 700 MHz (Band 28) , TD-LTE 2300 MHz (Band XL) , TD-LTE 3500 MHz (Band XLII) , NR 2100 MHz (N1) , NR 700 MHz (N28) , TD-NR 3500 MHz (N78) , TD-NR 4700 MHz (N79) , TD-NR 28 GHz (N257) networks;UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 750 Mbps / 225 Mbps (LTE Cat. 15) , LTE 1 Gbps / 100 Mbps (LTE Cat. 16) , NR 2.6 Gbps data links;No;Japan covered;
KT Corporation;KT;Seongnam;Formerly Korea Telecom;1981;GSM 900MHz (B8) , GSM 1800MHz (B3) , GSM 1900MHz (PCS, B2) , UMTS 2100MHz (Band I, IMT) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 900 MHz (Band 8) , TD-LTE 2300 MHz (Band XL) , TD-NR 3500 MHz (N78) , TD-NR 28 GHz (N257) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 1.2 Gbps / 200 Mbps (LTE Cat. 18) data links;No;South Korea covered;
SK Telecom;SKT;Seoul;Part of SK Group;1984;GSM 900MHz (B8) , GSM 1800MHz (B3) , GSM 1900MHz (PCS, B2) , UMTS 2100MHz (Band I, IMT) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 850 MHz (Band 5) , LTE 2600 MHz (Band 7) , TD-LTE 2300 MHz (Band XL) , TD-NR 3500 MHz (N78) , TD-NR 28 GHz (N257) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 225 Mbps / 50 Mbps , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) , LTE 750 Mbps / 225 Mbps (LTE Cat. 15) , LTE 1 Gbps / 100 Mbps (LTE Cat. 16) , LTE 1.2 Gbps / 200 Mbps (LTE Cat. 18) data links;No;South Korea covered;
LG Uplus Corporation;LG U+;;Previously known as LG Telecom;1996;UMTS 2100MHz (Band I, IMT) , CDMA 1800MHz (BC4) , LTE 2100 MHz (Band 1) , LTE 850 MHz (Band 5) , LTE 2600 MHz (Band 7) , TD-NR 3500 MHz (N78) , TD-NR 28 GHz (N257) networks;UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , CDMA2000 1xEV-DO Revision B , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) , LTE 1.2 Gbps / 200 Mbps (LTE Cat. 18) data links;No;South Korea covered;
Cricket Communications;Cricket Wireless;San Diego, California;Subsidiary of Leap Wireless;1999;CDMA 800MHz (BC0, 850) , CDMA 1900MHz (BC1/BC14, PCS) , CDMA 1700/2100MHz (BC15, AWS) , LTE 1900 MHz (Band 2, PCS) , LTE 1700/2100 MHz (Band 4, AWS) , LTE 700 MHz (Band 17) , LTE 700 MHz (Band 29) , LTE 2300 MHz (Band 30) , NR 850 MHz (N5) networks;cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , LTE 150 Mbps / 50 Mbps (Cat. 4) , NR 1.5 Gbps , NR 2.6 Gbps data links;No;USA covered;
MetroPCS Communications;MetroPCS;Richardson, Texas;Previously known as General Wireless;1994;CDMA 1900MHz (BC1/BC14, PCS) , CDMA 1700/2100MHz (BC15, AWS) , LTE 1700/2100 MHz (Band 4, AWS) networks;cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;USA covered;
Vodafone Hungary;Vodafone HU;Budapest;;1999;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;No;Hungary covered;
Telekom Deutschland;Telekome DE;Bonn;Previously known as T-Mobile Germany. Current name is Telekom Deutschland GmbH.;1990;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) , TD-LTE 3500 MHz (Band XLII) , TD-NR 3500 MHz (N78) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) data links;No;Germany covered;
T-Mobile United Kingdom;T-Mobile UK;Hatfield;Previously known as Mercury One2One. TMUK was merged into EE Limited in 2010.;1993;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;No;UK covered;
O2 United Kingdom;O2 UK;Slough, Berkshire;Also known as Telefónica UK Limited;1985;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 1800 MHz (Band 3) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;UK covered;
Alltel Wireless;Alltel;Little Rock, Arkansas;Alltel Wireless merged into Verizon Wireless in 2009.;1943;CDMA 800MHz (BC0, 850) , CDMA 1900MHz (BC1/BC14, PCS) networks;cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 data links;No;USA covered;
Verizon Wireless;Verizon;Basking Ridge, New Jersey;VZW;2000;CDMA 800MHz (BC0, 850) , CDMA 1900MHz (BC1/BC14, PCS) , LTE 1900 MHz (Band 2, PCS) , LTE 1700/2100 MHz (Band 4, AWS) , LTE 850 MHz (Band 5) , LTE 700 MHz (Band 13) , TD-LTE 3600 MHz (Band 48) , LTE 1700/2100 MHz (Band 66) , NR 1900 MHz (N2, PCS) , NR 850 MHz (N5) , TD-NR 2300 MHz (N40) , NR 1700/2100 MHz (N66) , TD-NR 3700 MHz (N77) , TD-NR 39 GHz (N260) , TD-NR 28 GHz (N261) networks;cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , LTE 300 Mbps / 50 Mbps (Cat. 6) , NR 2.6 Gbps , NR 3.7 Gbps , NR 4.6 Gbps data links;No;USA covered;
T-Mobile USA;T-Mobile USA;Bellevue, Washington;Subsidiary of T-Mobile International AG. Previously VoiceStream Wireless PCS.;1994;GSM 850MHz (B5) , GSM 1900MHz (PCS, B2) , UMTS 1900MHz (Band II, PCS) , UMTS 1700/2100MHz (Band IV, AWS) , LTE 1900 MHz (Band 2, PCS) , LTE 1700/2100 MHz (Band 4, AWS) , LTE 850 MHz (Band 5) , LTE 700 MHz (Band 12) , LTE 700 MHz (Band XIV) , TD-LTE 5900 MHz (Band XLVI) , TD-LTE 3600 MHz (Band 48) , LTE 1700/2100 MHz (Band 66) , LTE 600 MHz (Band 71) , TD-NR 2500 MHz (N41) , NR 600 MHz (N71) , TD-NR 39 GHz (N260) , TD-NR 28 GHz (N261) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) , LTE 1.2 Gbps / 200 Mbps (LTE Cat. 18) , NR 2.6 Gbps , NR 3.7 Gbps , NR 4.6 Gbps data links;No;USA covered;
Telekom Hungary;Telekom HU;Budapest;Also know as Magyar Telekom. Previously known as Westel, Westel 900 and T-Mobile Hungary. International network code is (+36 30).;1993;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) , TD-NR 3500 MHz (N78) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 28.8 Mbps (Cat. 16) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) , NR 2.6 Gbps data links;No;Hungary covered;
Telenor Hungary / Yettel;Telenor HU;Budapest;Formerly known as Pannon GSM and Pannon. International network code is (+36 20).;1994;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;No;Hungary covered;
